=================================================================
  Run : 20260628_231252
  Strategy : DummyVecEnv(8) + 전체 train pool
  Policy   : MlpPolicy  net_arch=[64, 64]
  Steps    : 2,000,000  (eval every 50,000)
=================================================================
[data] 로딩: /home/hpe/finance-llm-course/day3/01_golden_cross/../../day2/03_fss_api/data/stock_prices.csv
[data] train 199종목 / val 200종목  (split: 20260101)
[env] DummyVecEnv(8)  obs=(20, 9)  act=3
Using cpu device
[model] 파라미터 수: 31,748

[train] 시작  →  tensorboard --logdir /home/hpe/finance-llm-course/day3/01_golden_cross/logs

Logging to /home/hpe/finance-llm-course/day3/01_golden_cross/logs/20260628_231252/20260628_231252_1
---------------------------------
| rollout/           |          |
|    n_updates            | 1240        |
|    policy_gradient_loss | -0.0232     |
|    value_loss           | 0.014       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 804         |
|    ep_rew_mean          | 4.68        |
| time/                   |             |
|    fps                  | 1568        |
|    iterations           | 126         |
|    time_elapsed         | 658         |
|    total_timesteps      | 1032192     |
| train/                  |             |
|    approx_kl            | 0.032516405 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.463      |
|    explained_variance   | 0.203       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0316     |
|    n_updates            | 1250        |
|    policy_gradient_loss | -0.0246     |
|    value_loss           | 0.016       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 814         |
|    ep_rew_mean          | 4.77        |
| time/                   |             |
|    fps                  | 1569        |
|    iterations           | 127         |
|    time_elapsed         | 662         |
|    total_timesteps      | 1040384     |
| train/                  |             |
|    approx_kl            | 0.032389067 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.458      |
|    explained_variance   | 0.201       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0536     |
|    n_updates            | 1260        |
|    policy_gradient_loss | -0.0235     |
|    value_loss           | 0.0159      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 827         |
|    ep_rew_mean          | 4.82        |
| time/                   |             |
|    fps                  | 1571        |
|    iterations           | 128         |
|    time_elapsed         | 667         |
|    total_timesteps      | 1048576     |
| train/                  |             |
|    approx_kl            | 0.030067839 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.467      |
|    explained_variance   | 0.138       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0264     |
|    n_updates            | 1270        |
|    policy_gradient_loss | -0.0215     |
|    value_loss           | 0.0167      |
-----------------------------------------
----------------------------------------
| train/                  |            |
|    approx_kl            | 0.03346276 |
|    clip_fraction        | 0.188      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.484     |
|    explained_variance   | 0.175      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0345    |
|    n_updates            | 1280       |
|    policy_gradient_loss | -0.0208    |
|    value_loss           | 0.0145     |
| train_eval/             |            |
|    mean_cum_return      | 0.861      |
|    mean_mdd             | -0.515     |
|    mean_sharpe          | -0.0453    |
|    mean_win_rate        | 0.369      |
|    std_cum_return       | 2.64       |
|    std_mdd              | 0.0749     |
|    std_sharpe           | 0.528      |
|    std_win_rate         | 0.0285     |
| val/                    |            |
|    mean_cum_return      | 0.11       |
|    mean_mdd             | -0.3       |
|    mean_sharpe          | 0.0684     |
|    mean_win_rate        | 0.39       |
|    std_cum_return       | 0.423      |
|    std_mdd              | 0.0853     |
|    std_sharpe           | 1.72       |
|    std_win_rate         | 0.0586     |
----------------------------------------
  [eval] step=1,050,000  val cum_ret=+11.04%  MDD=-30.02%  sharpe=0.068  win_rate=39.0%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 864      |
|    ep_rew_mean     | 5.07     |
| time/              |          |
|    fps             | 1562     |
|    iterations      | 129      |
|    time_elapsed    | 676      |
|    total_timesteps | 1056768  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 887         |
|    ep_rew_mean          | 5.26        |
| time/                   |             |
|    fps                  | 1564        |
|    iterations           | 130         |
|    time_elapsed         | 680         |
|    total_timesteps      | 1064960     |
| train/                  |             |
|    approx_kl            | 0.032926667 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.469      |
|    explained_variance   | 0.116       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0538     |
|    n_updates            | 1290        |
|    policy_gradient_loss | -0.0234     |
|    value_loss           | 0.0165      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 873         |
|    ep_rew_mean          | 5.15        |
| time/                   |             |
|    fps                  | 1565        |
|    iterations           | 131         |
|    time_elapsed         | 685         |
|    total_timesteps      | 1073152     |
| train/                  |             |
|    approx_kl            | 0.029878292 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.482      |
|    explained_variance   | 0.183       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.000271   |
|    n_updates            | 1300        |
|    policy_gradient_loss | -0.0227     |
|    value_loss           | 0.014       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 881         |
|    ep_rew_mean          | 5.17        |
| time/                   |             |
|    fps                  | 1567        |
|    iterations           | 132         |
|    time_elapsed         | 689         |
|    total_timesteps      | 1081344     |
| train/                  |             |
|    approx_kl            | 0.032041475 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.457      |
|    explained_variance   | 0.216       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0454     |
|    n_updates            | 1310        |
|    policy_gradient_loss | -0.0213     |
|    value_loss           | 0.0135      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 887        |
|    ep_rew_mean          | 5.27       |
| time/                   |            |
|    fps                  | 1568       |
|    iterations           | 133        |
|    time_elapsed         | 694        |
|    total_timesteps      | 1089536    |
| train/                  |            |
|    approx_kl            | 0.03413694 |
|    clip_fraction        | 0.186      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.465     |
|    explained_variance   | 0.149      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0398    |
|    n_updates            | 1320       |
|    policy_gradient_loss | -0.0238    |
|    value_loss           | 0.0143     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 895        |
|    ep_rew_mean          | 5.36       |
| time/                   |            |
|    fps                  | 1570       |
|    iterations           | 134        |
|    time_elapsed         | 698        |
|    total_timesteps      | 1097728    |
| train/                  |            |
|    approx_kl            | 0.03348566 |
|    clip_fraction        | 0.183      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.453     |
|    explained_variance   | 0.196      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0428    |
|    n_updates            | 1330       |
|    policy_gradient_loss | -0.0192    |
|    value_loss           | 0.0162     |
----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.030831289 |
|    clip_fraction        | 0.18        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.459      |
|    explained_variance   | 0.143       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00997    |
|    n_updates            | 1340        |
|    policy_gradient_loss | -0.0199     |
|    value_loss           | 0.015       |
| train_eval/             |             |
|    mean_cum_return      | 1.13        |
|    mean_mdd             | -0.533      |
|    mean_sharpe          | 0.117       |
|    mean_win_rate        | 0.388       |
|    std_cum_return       | 2.06        |
|    std_mdd              | 0.0546      |
|    std_sharpe           | 0.566       |
|    std_win_rate         | 0.0299      |
| val/                    |             |
|    mean_cum_return      | 0.149       |
|    mean_mdd             | -0.313      |
|    mean_sharpe          | 0.0317      |
|    mean_win_rate        | 0.4         |
|    std_cum_return       | 0.578       |
|    std_mdd              | 0.0756      |
|    std_sharpe           | 1.86        |
|    std_win_rate         | 0.0673      |
-----------------------------------------
  [eval] step=1,100,000  val cum_ret=+14.95%  MDD=-31.29%  sharpe=0.032  win_rate=40.0%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 898      |
|    ep_rew_mean     | 5.4      |
| time/              |          |
|    fps             | 1560     |
|    iterations      | 135      |
|    time_elapsed    | 708      |
|    total_timesteps | 1105920  |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 884        |
|    ep_rew_mean          | 5.33       |
| time/                   |            |
|    fps                  | 1562       |
|    iterations           | 136        |
|    time_elapsed         | 713        |
|    total_timesteps      | 1114112    |
| train/                  |            |
|    approx_kl            | 0.03214574 |
|    clip_fraction        | 0.181      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.452     |
|    explained_variance   | 0.209      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00765   |
|    n_updates            | 1350       |
|    policy_gradient_loss | -0.0225    |
|    value_loss           | 0.0135     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 888         |
|    ep_rew_mean          | 5.35        |
| time/                   |             |
|    fps                  | 1564        |
|    iterations           | 137         |
|    time_elapsed         | 717         |
|    total_timesteps      | 1122304     |
| train/                  |             |
|    approx_kl            | 0.031798486 |
|    clip_fraction        | 0.192       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.475      |
|    explained_variance   | 0.197       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.032      |
|    n_updates            | 1360        |
|    policy_gradient_loss | -0.0224     |
|    value_loss           | 0.0144      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 919        |
|    ep_rew_mean          | 5.58       |
| time/                   |            |
|    fps                  | 1565       |
|    iterations           | 138        |
|    time_elapsed         | 722        |
|    total_timesteps      | 1130496    |
| train/                  |            |
|    approx_kl            | 0.03396287 |
|    clip_fraction        | 0.188      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.465     |
|    explained_variance   | 0.23       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0105     |
|    n_updates            | 1370       |
|    policy_gradient_loss | -0.0241    |
|    value_loss           | 0.0104     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 952         |
|    ep_rew_mean          | 5.86        |
| time/                   |             |
|    fps                  | 1567        |
|    iterations           | 139         |
|    time_elapsed         | 726         |
|    total_timesteps      | 1138688     |
| train/                  |             |
|    approx_kl            | 0.029087229 |
|    clip_fraction        | 0.182       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.459      |
|    explained_variance   | 0.249       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0332     |
|    n_updates            | 1380        |
|    policy_gradient_loss | -0.0213     |
|    value_loss           | 0.0124      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 933         |
|    ep_rew_mean          | 5.77        |
| time/                   |             |
|    fps                  | 1568        |
|    iterations           | 140         |
|    time_elapsed         | 731         |
|    total_timesteps      | 1146880     |
| train/                  |             |
|    approx_kl            | 0.027891599 |
|    clip_fraction        | 0.172       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.465      |
|    explained_variance   | 0.251       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.03       |
|    n_updates            | 1390        |
|    policy_gradient_loss | -0.0198     |
|    value_loss           | 0.0121      |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.034639552 |
|    clip_fraction        | 0.195       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.477      |
|    explained_variance   | 0.186       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0229     |
|    n_updates            | 1400        |
|    policy_gradient_loss | -0.0225     |
|    value_loss           | 0.016       |
| train_eval/             |             |
|    mean_cum_return      | 1.37        |
|    mean_mdd             | -0.458      |
|    mean_sharpe          | -0.268      |
|    mean_win_rate        | 0.375       |
|    std_cum_return       | 3.37        |
|    std_mdd              | 0.0633      |
|    std_sharpe           | 1.25        |
|    std_win_rate         | 0.0377      |
| val/                    |             |
|    mean_cum_return      | 0.177       |
|    mean_mdd             | -0.296      |
|    mean_sharpe          | 0.0438      |
|    mean_win_rate        | 0.405       |
|    std_cum_return       | 0.523       |
|    std_mdd              | 0.0726      |
|    std_sharpe           | 2.04        |
|    std_win_rate         | 0.0627      |
-----------------------------------------
  [eval] step=1,150,000  val cum_ret=+17.68%  MDD=-29.58%  sharpe=0.044  win_rate=40.5%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 923      |
|    ep_rew_mean     | 5.71     |
| time/              |          |
|    fps             | 1560     |
|    iterations      | 141      |
|    time_elapsed    | 740      |
|    total_timesteps | 1155072  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 948         |
|    ep_rew_mean          | 5.87        |
| time/                   |             |
|    fps                  | 1562        |
|    iterations           | 142         |
|    time_elapsed         | 744         |
|    total_timesteps      | 1163264     |
| train/                  |             |
|    approx_kl            | 0.028381262 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.461      |
|    explained_variance   | 0.18        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0129     |
|    n_updates            | 1410        |
|    policy_gradient_loss | -0.0216     |
|    value_loss           | 0.0167      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 946         |
|    ep_rew_mean          | 5.88        |
| time/                   |             |
|    fps                  | 1563        |
|    iterations           | 143         |
|    time_elapsed         | 749         |
|    total_timesteps      | 1171456     |
| train/                  |             |
|    approx_kl            | 0.031319864 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.476      |
|    explained_variance   | 0.201       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0416     |
|    n_updates            | 1420        |
|    policy_gradient_loss | -0.0234     |
|    value_loss           | 0.0113      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 948         |
|    ep_rew_mean          | 5.92        |
| time/                   |             |
|    fps                  | 1565        |
|    iterations           | 144         |
|    time_elapsed         | 753         |
|    total_timesteps      | 1179648     |
| train/                  |             |
|    approx_kl            | 0.027300872 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.473      |
|    explained_variance   | 0.176       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0194     |
|    n_updates            | 1430        |
|    policy_gradient_loss | -0.0215     |
|    value_loss           | 0.015       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 949         |
|    ep_rew_mean          | 5.92        |
| time/                   |             |
|    fps                  | 1566        |
|    iterations           | 145         |
|    time_elapsed         | 758         |
|    total_timesteps      | 1187840     |
| train/                  |             |
|    approx_kl            | 0.033372637 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.476      |
|    explained_variance   | 0.234       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0426     |
|    n_updates            | 1440        |
|    policy_gradient_loss | -0.0244     |
|    value_loss           | 0.0146      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 922         |
|    ep_rew_mean          | 5.74        |
| time/                   |             |
|    fps                  | 1568        |
|    iterations           | 146         |
|    time_elapsed         | 762         |
|    total_timesteps      | 1196032     |
| train/                  |             |
|    approx_kl            | 0.029204339 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.473      |
|    explained_variance   | 0.2         |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0434     |
|    n_updates            | 1450        |
|    policy_gradient_loss | -0.0234     |
|    value_loss           | 0.014       |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.033689667 |
|    clip_fraction        | 0.185       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.472      |
|    explained_variance   | 0.18        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00475    |
|    n_updates            | 1460        |
|    policy_gradient_loss | -0.022      |
|    value_loss           | 0.0166      |
| train_eval/             |             |
|    mean_cum_return      | 1.04        |
|    mean_mdd             | -0.477      |
|    mean_sharpe          | -0.165      |
|    mean_win_rate        | 0.382       |
|    std_cum_return       | 3.09        |
|    std_mdd              | 0.0672      |
|    std_sharpe           | 0.76        |
|    std_win_rate         | 0.0346      |
| val/                    |             |
|    mean_cum_return      | 0.178       |
|    mean_mdd             | -0.301      |
|    mean_sharpe          | 0.086       |
|    mean_win_rate        | 0.405       |
|    std_cum_return       | 0.568       |
|    std_mdd              | 0.0819      |
|    std_sharpe           | 1.9         |
|    std_win_rate         | 0.0725      |
-----------------------------------------
  [eval] step=1,200,000  val cum_ret=+17.84%  MDD=-30.10%  sharpe=0.086  win_rate=40.5%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 941      |
|    ep_rew_mean     | 5.88     |
| time/              |          |
|    fps             | 1560     |
|    iterations      | 147      |
|    time_elapsed    | 771      |
|    total_timesteps | 1204224  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 947         |
|    ep_rew_mean          | 5.92        |
| time/                   |             |
|    fps                  | 1561        |
|    iterations           | 148         |
|    time_elapsed         | 776         |
|    total_timesteps      | 1212416     |
| train/                  |             |
|    approx_kl            | 0.033053525 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.48       |
|    explained_variance   | 0.147       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.031      |
|    n_updates            | 1470        |
|    policy_gradient_loss | -0.022      |
|    value_loss           | 0.0162      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 854         |
|    ep_rew_mean          | 5.23        |
| time/                   |             |
|    fps                  | 1563        |
|    iterations           | 149         |
|    time_elapsed         | 780         |
|    total_timesteps      | 1220608     |
| train/                  |             |
|    approx_kl            | 0.031585693 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.474      |
|    explained_variance   | 0.188       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0508     |
|    n_updates            | 1480        |
|    policy_gradient_loss | -0.022      |
|    value_loss           | 0.0151      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 824         |
|    ep_rew_mean          | 4.99        |
| time/                   |             |
|    fps                  | 1564        |
|    iterations           | 150         |
|    time_elapsed         | 785         |
|    total_timesteps      | 1228800     |
| train/                  |             |
|    approx_kl            | 0.027874595 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.474      |
|    explained_variance   | 0.162       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0445     |
|    n_updates            | 1490        |
|    policy_gradient_loss | -0.0237     |
|    value_loss           | 0.0176      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 817         |
|    ep_rew_mean          | 4.93        |
| time/                   |             |
|    fps                  | 1566        |
|    iterations           | 151         |
|    time_elapsed         | 789         |
|    total_timesteps      | 1236992     |
| train/                  |             |
|    approx_kl            | 0.030111507 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.48       |
|    explained_variance   | 0.201       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0347     |
|    n_updates            | 1500        |
|    policy_gradient_loss | -0.0235     |
|    value_loss           | 0.0153      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 840         |
|    ep_rew_mean          | 5.09        |
| time/                   |             |
|    fps                  | 1567        |
|    iterations           | 152         |
|    time_elapsed         | 794         |
|    total_timesteps      | 1245184     |
| train/                  |             |
|    approx_kl            | 0.028660469 |
|    clip_fraction        | 0.183       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.483      |
|    explained_variance   | 0.24        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0502     |
|    n_updates            | 1510        |
|    policy_gradient_loss | -0.0234     |
|    value_loss           | 0.0127      |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.033576302 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.48       |
|    explained_variance   | 0.32        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0518     |
|    n_updates            | 1520        |
|    policy_gradient_loss | -0.0261     |
|    value_loss           | 0.0091      |
| train_eval/             |             |
|    mean_cum_return      | 1.19        |
|    mean_mdd             | -0.484      |
|    mean_sharpe          | 0.0869      |
|    mean_win_rate        | 0.382       |
|    std_cum_return       | 2.09        |
|    std_mdd              | 0.0697      |
|    std_sharpe           | 0.69        |
|    std_win_rate         | 0.0312      |
| val/                    |             |
|    mean_cum_return      | 0.151       |
|    mean_mdd             | -0.314      |
|    mean_sharpe          | -0.184      |
|    mean_win_rate        | 0.408       |
|    std_cum_return       | 0.591       |
|    std_mdd              | 0.0893      |
|    std_sharpe           | 2.28        |
|    std_win_rate         | 0.0687      |
-----------------------------------------
  [eval] step=1,250,000  val cum_ret=+15.14%  MDD=-31.38%  sharpe=-0.184  win_rate=40.8%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 835      |
|    ep_rew_mean     | 5        |
| time/              |          |
|    fps             | 1558     |
|    iterations      | 153      |
|    time_elapsed    | 803      |
|    total_timesteps | 1253376  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 832         |
|    ep_rew_mean          | 4.91        |
| time/                   |             |
|    fps                  | 1560        |
|    iterations           | 154         |
|    time_elapsed         | 808         |
|    total_timesteps      | 1261568     |
| train/                  |             |
|    approx_kl            | 0.030881256 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.485      |
|    explained_variance   | 0.253       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0304     |
|    n_updates            | 1530        |
|    policy_gradient_loss | -0.0239     |
|    value_loss           | 0.00978     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 856        |
|    ep_rew_mean          | 5.08       |
| time/                   |            |
|    fps                  | 1561       |
|    iterations           | 155        |
|    time_elapsed         | 813        |
|    total_timesteps      | 1269760    |
| train/                  |            |
|    approx_kl            | 0.03101499 |
|    clip_fraction        | 0.177      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.459     |
|    explained_variance   | 0.26       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0439    |
|    n_updates            | 1540       |
|    policy_gradient_loss | -0.0227    |
|    value_loss           | 0.015      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 828         |
|    ep_rew_mean          | 4.87        |
| time/                   |             |
|    fps                  | 1562        |
|    iterations           | 156         |
|    time_elapsed         | 817         |
|    total_timesteps      | 1277952     |
| train/                  |             |
|    approx_kl            | 0.029926823 |
|    clip_fraction        | 0.18        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.465      |
|    explained_variance   | 0.266       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0406     |
|    n_updates            | 1550        |
|    policy_gradient_loss | -0.0233     |
|    value_loss           | 0.0119      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 820         |
|    ep_rew_mean          | 4.78        |
| time/                   |             |
|    fps                  | 1563        |
|    iterations           | 157         |
|    time_elapsed         | 822         |
|    total_timesteps      | 1286144     |
| train/                  |             |
|    approx_kl            | 0.029806871 |
|    clip_fraction        | 0.182       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.46       |
|    explained_variance   | 0.248       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0327     |
|    n_updates            | 1560        |
|    policy_gradient_loss | -0.0229     |
|    value_loss           | 0.0136      |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 844       |
|    ep_rew_mean          | 4.96      |
| time/                   |           |
|    fps                  | 1565      |
|    iterations           | 158       |
|    time_elapsed         | 827       |
|    total_timesteps      | 1294336   |
| train/                  |           |
|    approx_kl            | 0.0327819 |
|    clip_fraction        | 0.176     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.464    |
|    explained_variance   | 0.214     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0298   |
|    n_updates            | 1570      |
|    policy_gradient_loss | -0.0198   |
|    value_loss           | 0.0153    |
---------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.030077158 |
|    clip_fraction        | 0.185       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.466      |
|    explained_variance   | 0.137       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0428     |
|    n_updates            | 1580        |
|    policy_gradient_loss | -0.0242     |
|    value_loss           | 0.0135      |
| train_eval/             |             |
|    mean_cum_return      | 0.701       |
|    mean_mdd             | -0.487      |
|    mean_sharpe          | -0.177      |
|    mean_win_rate        | 0.38        |
|    std_cum_return       | 2.57        |
|    std_mdd              | 0.0757      |
|    std_sharpe           | 0.576       |
|    std_win_rate         | 0.0288      |
| val/                    |             |
|    mean_cum_return      | 0.196       |
|    mean_mdd             | -0.308      |
|    mean_sharpe          | 0.261       |
|    mean_win_rate        | 0.415       |
|    std_cum_return       | 0.616       |
|    std_mdd              | 0.111       |
|    std_sharpe           | 1.84        |
|    std_win_rate         | 0.0588      |
-----------------------------------------

[best] step=1,300,000  val_sharpe=0.2613  → /home/hpe/finance-llm-course/day3/01_golden_cross/models/20260628_231252/best_model.zip
  [eval] step=1,300,000  val cum_ret=+19.57%  MDD=-30.76%  sharpe=0.261  win_rate=41.5%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 849      |
|    ep_rew_mean     | 4.99     |
| time/              |          |
|    fps             | 1557     |
|    iterations      | 159      |
|    time_elapsed    | 836      |
|    total_timesteps | 1302528  |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 898        |
|    ep_rew_mean          | 5.44       |
| time/                   |            |
|    fps                  | 1559       |
|    iterations           | 160        |
|    time_elapsed         | 840        |
|    total_timesteps      | 1310720    |
| train/                  |            |
|    approx_kl            | 0.02987482 |
|    clip_fraction        | 0.181      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.466     |
|    explained_variance   | 0.0276     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00198   |
|    n_updates            | 1590       |
|    policy_gradient_loss | -0.0173    |
|    value_loss           | 0.0885     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 939        |
|    ep_rew_mean          | 5.72       |
| time/                   |            |
|    fps                  | 1560       |
|    iterations           | 161        |
|    time_elapsed         | 845        |
|    total_timesteps      | 1318912    |
| train/                  |            |
|    approx_kl            | 0.03467185 |
|    clip_fraction        | 0.182      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.456     |
|    explained_variance   | -0.294     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0292    |
|    n_updates            | 1600       |
|    policy_gradient_loss | -0.022     |
|    value_loss           | 0.0192     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 916         |
|    ep_rew_mean          | 5.63        |
| time/                   |             |
|    fps                  | 1561        |
|    iterations           | 162         |
|    time_elapsed         | 850         |
|    total_timesteps      | 1327104     |
| train/                  |             |
|    approx_kl            | 0.032874003 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.461      |
|    explained_variance   | 0.113       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00245    |
|    n_updates            | 1610        |
|    policy_gradient_loss | -0.0241     |
|    value_loss           | 0.0149      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 896         |
|    ep_rew_mean          | 5.5         |
| time/                   |             |
|    fps                  | 1562        |
|    iterations           | 163         |
|    time_elapsed         | 854         |
|    total_timesteps      | 1335296     |
| train/                  |             |
|    approx_kl            | 0.032084487 |
